Periodo,Tasa
1997,114.92
1998,59.3
1999,47.11
2000,38.08
2001,37.51
2002,28.55
2003,30.16
2004,33.59
2005,28.25
2006,27.65
2007,33.02
2008,63.48
2009,90.73
2010,131.53
2011,152.67
2012,162.35
2013,171.12
2014,140.7
2015,73.91
2016,46.8
2017,47.14
2018,35.5
2019,16.24
2020,17.13
